cone_id,tracker_id,cone_type,global_x,global_y,observations,confidence,existence_probability,uncertainty_m,status,missed_updates,predicted_updates
5,6,left,33.25122173776569,18.299572380766467,162,0.8696296296296298,0.960693043575437,0.3526062496764043,CONFIRMED,8,8
65,88,left,33.42033472133787,-18.21314517857071,112,0.8860714285714283,0.0451506389749415,0.5,CONFIRMED,618,618
3,4,left,37.39735723951179,14.17716101167913,166,0.8675301204819277,0.995,0.24162279533547107,CONFIRMED,1,1
67,90,left,37.80815402295523,-14.386305945643668,120,0.8845000000000002,0.11186295456362313,0.5,CONFIRMED,437,437
2,3,left,40.97141414964026,9.73972395270681,176,0.8711931818181818,1.0,0.22292277567436974,CONFIRMED,0,0
69,93,left,41.1677893314376,-9.84602648504198,128,0.8744531250000003,0.24328132378095624,0.5,CONFIRMED,282,282
1,2,left,42.86627198907676,5.0781269706193335,163,0.8727607361963191,0.990025,0.25367326905612414,CONFIRMED,2,2
70,96,left,42.9174092070419,-4.913697794613121,138,0.883985507246377,0.4883155414435353,0.5,CONFIRMED,143,143
72,99,left,43.53187042786703,-0.11965098615482261,149,0.8773154362416101,0.9752487531218751,0.3014919305794344,CONFIRMED,5,5
35,45,right,-36.31100347086631,-0.2351774339661954,168,0.8731547619047619,5.053071626637384e-06,0.5,CONFIRMED,2433,2433
38,49,right,-36.21065293945613,-3.785491941844949,162,0.8793209876543204,1.1100224880054915e-05,0.5,CONFIRMED,2276,2276
32,41,right,-36.04375294748437,3.6920677539850617,170,0.8815882352941179,2.060093386170796e-06,0.5,CONFIRMED,2612,2612
30,39,right,-34.4297202321414,7.057146892537066,154,0.8749350649350652,9.61601608651464e-07,0.5,CONFIRMED,2764,2764
40,51,right,-34.31518818938495,-7.333985887213093,152,0.8719078947368422,2.239239120644775e-05,0.5,CONFIRMED,2136,2136
28,35,right,-31.654009136815752,10.870994507630957,138,0.8730434782608693,4.0603649430806465e-07,0.5,CONFIRMED,2936,2936
42,54,right,-31.592185423085724,-10.963054112084485,142,0.8802816901408451,4.53989791900303e-05,0.5,CONFIRMED,1995,1995
27,33,right,-28.10492161485585,13.789491053448256,129,0.8739534883720924,1.8116782460374785e-07,0.5,CONFIRMED,3097,3097
45,59,right,-27.948414137912827,-13.876516990707634,138,0.8769565217391306,8.58054420452694e-05,0.5,CONFIRMED,1868,1868
25,31,right,-23.457796114037166,16.38935147445316,120,0.8694166666666667,8.043038550992492e-08,0.5,CONFIRMED,3259,3259
46,61,right,-23.37950719321223,-16.468086157364862,138,0.8692753623188407,0.0001558002765684079,0.5,CONFIRMED,1749,1749
47,62,right,-18.3140527773001,-18.764032407970994,140,0.8757142857142853,0.00027177297063882966,0.5,CONFIRMED,1638,1638
23,29,right,-18.008661868202175,18.828207756684055,118,0.8779661016949148,4.108780777406902e-08,0.5,CONFIRMED,3393,3393
21,26,right,-12.570009197436134,19.92173736685056,116,0.8786206896551725,2.0470157957667247e-08,0.5,CONFIRMED,3532,3532
49,66,right,-12.448469689404005,-20.2599927069308,142,0.8780985915492958,0.0004577262969879016,0.5,CONFIRMED,1534,1534
19,23,right,-6.486714558317239,21.332882560690845,116,0.8795689655172413,1.1273734495091965e-08,0.5,CONFIRMED,3651,3651
51,70,right,-6.2078393459337615,-21.10284076856034,130,0.8656153846153849,0.000770913172350343,0.5,CONFIRMED,1430,1430
53,72,right,-0.15374611379921488,-21.296824004008535,123,0.8703252032520328,0.0013583051337425845,0.5,CONFIRMED,1317,1317
17,20,right,-0.029286863376579174,21.50714665438432,123,0.8748780487804879,6.52805198109175e-09,0.5,CONFIRMED,3760,3760
15,18,right,6.271605337448228,21.255748003781424,131,0.8835114503816794,3.6133258822801236e-09,0.5,CONFIRMED,3878,3878
55,74,right,6.475987900247577,-21.35279889829731,116,0.8932758620689656,0.002334020260264599,0.5,CONFIRMED,1209,1209
13,15,right,12.343607316970209,20.396574230017755,142,0.879718309859155,2.102809122672158e-09,0.5,CONFIRMED,3986,3986
57,77,right,12.664801186214953,-20.30261857949821,116,0.8808620689655177,0.004367365392379092,0.5,CONFIRMED,1084,1084
59,80,right,18.046241730233827,-18.641724274394633,119,0.8692436974789913,0.00842162599911482,0.5,CONFIRMED,953,953
11,13,right,18.2978025482566,18.685287555294803,140,0.8836428571428571,1.2298991242050255e-09,0.5,CONFIRMED,4093,4093
10,12,right,23.491481888307977,16.38547373435151,138,0.8692028985507243,7.121726538623913e-10,0.5,CONFIRMED,4202,4202
61,83,right,23.58926217920147,-16.344657837686935,120,0.891833333333333,0.0175075817047932,0.5,CONFIRMED,807,807
9,10,right,27.922089439438793,13.75757459965392,138,0.8788405797101452,3.883095429815492e-10,0.5,CONFIRMED,4323,4323
63,85,right,27.943321573235597,-13.953863454252556,128,0.8762499999999994,0.035673744367776934,0.5,CONFIRMED,665,665
4,5,right,31.53631774608195,10.769749882185115,144,0.8616666666666666,0.9703725093562657,0.32151179544431274,CONFIRMED,6,6
64,87,right,31.5555140086617,-10.645310663465287,138,0.8866666666666666,0.08662902049662846,0.5,CONFIRMED,488,488
7,8,right,34.3644557376745,7.545665621483741,152,0.8778947368421047,0.985074875,0.2740549981884191,CONFIRMED,3,3
66,89,right,34.40021375164373,-7.53623141957525,153,0.8726143790849671,0.192217783647157,0.5,CONFIRMED,329,329
68,91,right,35.82179101748173,-3.4383086973981833,170,0.8857647058823526,0.43080185560799106,0.5,CONFIRMED,168,168
6,7,right,36.10801510037185,3.9230712723930843,162,0.8694444444444439,0.9801495006250001,0.2854450625648679,CONFIRMED,4,4
71,97,right,36.30096678106653,-0.048285287974025176,166,0.8748795180722895,0.9655206468094844,0.33102841740446437,CONFIRMED,7,7
